Place,Rent,Distance,Gender,WiFi,Food,Parking,Amenities,Combined
"Lane-1, Clement Town",12800,2800.0,Female,No,Yes,No,Grocery Stores,Lane-1 Clement Town 12800 2800.0 Female No Yes No Grocery Stores
ISBT Road,10400,3300.0,Female,Yes,Yes,Yes,"Medical Shops, Transportation",ISBT Road 10400 3300.0 Female Yes Yes Yes Medical Shops Transportation
Pant Road,8300,6400.0,Male,Yes,No,No,"Restaurants, Transportation",Pant Road 8300 6400.0 Male Yes No No Restaurants Transportation
"Clement Town, Post Office Road, Lane No 10",5300,4000.0,Male,Yes,No,Yes,"Gym, Medical Shops",Clement Town Post Office Road Lane No 10 5300 4000.0 Male Yes No Yes Gym Medical Shops
Tibetan Colony,7400,6800.0,Male,Yes,No,Yes,"Restaurants, Medical Shops, Transportation",Tibetan Colony 7400 6800.0 Male Yes No Yes Restaurants Medical Shops Transportation
"Lane-10, Post Office Road",10000,4200.0,Male,Yes,Yes,No,"Grocery Stores, Gym, Medical Shops, Transportation",Lane-10 Post Office Road 10000 4200.0 Male Yes Yes No Grocery Stores Gym Medical Shops Transportation
Mohabbewala,4400,8200.0,Female,No,No,Yes,"Medical Shops, Restaurants, Gym",Mohabbewala 4400 8200.0 Female No No Yes Medical Shops Restaurants Gym
"Lane No 2C, Post Office Road, Clement Town, Dehradun",5300,4100.0,Female,Yes,No,No,"Gym, Restaurants, Transportation, Medical Shops",Lane No 2C Post Office Road Clement Town Dehradun 5300 4100.0 Female Yes No No Gym Restaurants Transportation Medical Shops
Air Force Colony,6700,6000.0,Female,Yes,Yes,No,"Gym, Medical Shops, Grocery Stores, Restaurants",Air Force Colony 6700 6000.0 Female Yes Yes No Gym Medical Shops Grocery Stores Restaurants
Manav Kendra,9500,3900.0,Male,No,No,No,"Gym, Grocery Stores, Restaurants, Medical Shops",Manav Kendra 9500 3900.0 Male No No No Gym Grocery Stores Restaurants Medical Shops
Nehru Marg,4800,5700.0,Male,Yes,No,No,"Restaurants, Grocery Stores",Nehru Marg 4800 5700.0 Male Yes No No Restaurants Grocery Stores
Morowala,7600,7000.0,Male,Yes,Yes,Yes,"Transportation, Restaurants, Grocery Stores, Medical Shops, Gym",Morowala 7600 7000.0 Male Yes Yes Yes Transportation Restaurants Grocery Stores Medical Shops Gym
"Lane-2, Clement Town",11800,2900.0,Female,Yes,No,Yes,"Transportation, Restaurants, Medical Shops, Grocery Stores",Lane-2 Clement Town 11800 2900.0 Female Yes No Yes Transportation Restaurants Medical Shops Grocery Stores
Subhash Nagar,11200,5000.0,Male,Yes,Yes,Yes,Medical Shops,Subhash Nagar 11200 5000.0 Male Yes Yes Yes Medical Shops
Jaligaon,4700,7500.0,Female,Yes,Yes,No,"Restaurants, Transportation, Medical Shops",Jaligaon 4700 7500.0 Female Yes Yes No Restaurants Transportation Medical Shops
Clement Town,12700,2700.0,Female,No,No,Yes,"Restaurants, Gym, Transportation",Clement Town 12700 2700.0 Female No No Yes Restaurants Gym Transportation
"Lane-10, Post Office Road",6300,4200.0,Female,No,No,Yes,"Restaurants, Transportation, Medical Shops, Gym",Lane-10 Post Office Road 6300 4200.0 Female No No Yes Restaurants Transportation Medical Shops Gym
Bharuwala colony,7400,6200.0,Male,Yes,Yes,Yes,Restaurants,Bharuwala colony 7400 6200.0 Male Yes Yes Yes Restaurants
"Lane-10, Post Office Road",4400,4200.0,Female,Yes,Yes,No,"Gym, Medical Shops, Grocery Stores, Transportation, Restaurants",Lane-10 Post Office Road 4400 4200.0 Female Yes Yes No Gym Medical Shops Grocery Stores Transportation Restaurants
"Lane No 2C, Post Office Road, Clement Town, Dehradun",11000,4100.0,Female,No,Yes,No,Medical Shops,Lane No 2C Post Office Road Clement Town Dehradun 11000 4100.0 Female No Yes No Medical Shops
Gurn Nanak Road,3800,5000.0,Male,No,Yes,Yes,"Gym, Medical Shops, Transportation, Grocery Stores, Restaurants",Gurn Nanak Road 3800 5000.0 Male No Yes Yes Gym Medical Shops Transportation Grocery Stores Restaurants
Morowala,3800,7000.0,Female,Yes,Yes,Yes,"Medical Shops, Transportation, Gym",Morowala 3800 7000.0 Female Yes Yes Yes Medical Shops Transportation Gym
"Lane-4, Clement Town",5300,3500.0,Female,Yes,Yes,Yes,"Gym, Medical Shops, Restaurants, Grocery Stores, Transportation",Lane-4 Clement Town 5300 3500.0 Female Yes Yes Yes Gym Medical Shops Restaurants Grocery Stores Transportation
"Lane-2, Clement Town",10200,2900.0,Male,Yes,Yes,Yes,"Restaurants, Medical Shops, Gym",Lane-2 Clement Town 10200 2900.0 Male Yes Yes Yes Restaurants Medical Shops Gym
Nehru Marg,9800,5700.0,Female,Yes,No,Yes,"Restaurants, Transportation, Grocery Stores, Medical Shops",Nehru Marg 9800 5700.0 Female Yes No Yes Restaurants Transportation Grocery Stores Medical Shops
"Lane-4, Clement Town",7500,3500.0,Male,Yes,Yes,Yes,"Gym, Grocery Stores",Lane-4 Clement Town 7500 3500.0 Male Yes Yes Yes Gym Grocery Stores
Air Force Colony,8500,6000.0,Female,No,Yes,No,"Medical Shops, Grocery Stores, Transportation, Restaurants",Air Force Colony 8500 6000.0 Female No Yes No Medical Shops Grocery Stores Transportation Restaurants
Bell Road,10300,5800.0,Female,No,No,No,Gym,Bell Road 10300 5800.0 Female No No No Gym
Air Force Colony,4100,6000.0,Female,Yes,No,Yes,"Gym, Transportation, Restaurants, Medical Shops, Grocery Stores",Air Force Colony 4100 6000.0 Female Yes No Yes Gym Transportation Restaurants Medical Shops Grocery Stores
GK army Pre Primary School,9800,4600.0,Female,No,No,No,"Medical Shops, Restaurants, Transportation",GK army Pre Primary School 9800 4600.0 Female No No No Medical Shops Restaurants Transportation
Bharuwala colony,12700,6200.0,Female,Yes,Yes,Yes,Transportation,Bharuwala colony 12700 6200.0 Female Yes Yes Yes Transportation
Sahastradhara,11100,9500.0,Male,Yes,No,No,"Medical Shops, Grocery Stores, Restaurants",Sahastradhara 11100 9500.0 Male Yes No No Medical Shops Grocery Stores Restaurants
"Lane-2, Clement Town",7200,2900.0,Male,No,Yes,Yes,"Medical Shops, Gym, Transportation",Lane-2 Clement Town 7200 2900.0 Male No Yes Yes Medical Shops Gym Transportation
"Lane-2, Clement Town",12000,2900.0,Female,No,Yes,Yes,"Transportation, Grocery Stores",Lane-2 Clement Town 12000 2900.0 Female No Yes Yes Transportation Grocery Stores
Bell Road,11200,5800.0,Female,No,Yes,No,"Gym, Transportation, Medical Shops, Grocery Stores, Restaurants",Bell Road 11200 5800.0 Female No Yes No Gym Transportation Medical Shops Grocery Stores Restaurants
Nehru Marg,11700,5700.0,Female,Yes,Yes,Yes,Restaurants,Nehru Marg 11700 5700.0 Female Yes Yes Yes Restaurants
"Lane-2, Clement Town",6100,2900.0,Female,No,Yes,Yes,"Restaurants, Medical Shops, Transportation, Grocery Stores, Gym",Lane-2 Clement Town 6100 2900.0 Female No Yes Yes Restaurants Medical Shops Transportation Grocery Stores Gym
Gurn Nanak Road,3600,5000.0,Male,Yes,No,No,Restaurants,Gurn Nanak Road 3600 5000.0 Male Yes No No Restaurants
Sahastradhara,12000,9500.0,Male,Yes,No,Yes,"Restaurants, Transportation, Grocery Stores",Sahastradhara 12000 9500.0 Male Yes No Yes Restaurants Transportation Grocery Stores
Nehru Marg,12000,5700.0,Male,No,No,Yes,"Grocery Stores, Restaurants, Medical Shops, Gym, Transportation",Nehru Marg 12000 5700.0 Male No No Yes Grocery Stores Restaurants Medical Shops Gym Transportation
"Lane-10, Post Office Road",11600,4200.0,Male,No,No,No,"Grocery Stores, Transportation, Medical Shops, Restaurants",Lane-10 Post Office Road 11600 4200.0 Male No No No Grocery Stores Transportation Medical Shops Restaurants
St Mary Church,10100,4400.0,Female,No,Yes,Yes,"Medical Shops, Restaurants",St Mary Church 10100 4400.0 Female No Yes Yes Medical Shops Restaurants
GK army Pre Primary School,10500,4600.0,Female,Yes,Yes,Yes,"Grocery Stores, Gym, Restaurants, Transportation, Medical Shops",GK army Pre Primary School 10500 4600.0 Female Yes Yes Yes Grocery Stores Gym Restaurants Transportation Medical Shops
Clement Town,12100,2700.0,Male,No,No,Yes,"Medical Shops, Transportation, Restaurants, Gym, Grocery Stores",Clement Town 12100 2700.0 Male No No Yes Medical Shops Transportation Restaurants Gym Grocery Stores
Clement Town,11900,2700.0,Female,Yes,No,Yes,"Gym, Transportation",Clement Town 11900 2700.0 Female Yes No Yes Gym Transportation
Mohabbewala,6200,8200.0,Female,Yes,Yes,No,"Gym, Grocery Stores, Medical Shops, Restaurants, Transportation",Mohabbewala 6200 8200.0 Female Yes Yes No Gym Grocery Stores Medical Shops Restaurants Transportation
Bell Road,9100,5800.0,Male,No,No,Yes,Transportation,Bell Road 9100 5800.0 Male No No Yes Transportation
"Clement Town, Post Office Road, Lane No 10",3400,4000.0,Male,No,Yes,Yes,"Medical Shops, Restaurants, Transportation, Gym, Grocery Stores",Clement Town Post Office Road Lane No 10 3400 4000.0 Male No Yes Yes Medical Shops Restaurants Transportation Gym Grocery Stores
Mohabbewala,12100,8200.0,Male,Yes,Yes,No,"Gym, Restaurants, Grocery Stores",Mohabbewala 12100 8200.0 Male Yes Yes No Gym Restaurants Grocery Stores
"Lane-10, Post Office Road",4000,4200.0,Male,Yes,No,Yes,"Grocery Stores, Medical Shops, Gym, Transportation, Restaurants",Lane-10 Post Office Road 4000 4200.0 Male Yes No Yes Grocery Stores Medical Shops Gym Transportation Restaurants
Tibetan Colony,5400,6800.0,Male,Yes,Yes,No,"Grocery Stores, Transportation, Gym, Medical Shops, Restaurants",Tibetan Colony 5400 6800.0 Male Yes Yes No Grocery Stores Transportation Gym Medical Shops Restaurants
"Subhash Nagar, Dehradun",11100,5300.0,Male,No,No,No,Restaurants,Subhash Nagar Dehradun 11100 5300.0 Male No No No Restaurants
"Clement Town, Post Office Road, Lane No 10",10700,4000.0,Female,Yes,Yes,Yes,"Restaurants, Transportation, Grocery Stores, Medical Shops",Clement Town Post Office Road Lane No 10 10700 4000.0 Female Yes Yes Yes Restaurants Transportation Grocery Stores Medical Shops
ISBT Road,5700,3300.0,Female,No,Yes,No,"Gym, Restaurants, Medical Shops",ISBT Road 5700 3300.0 Female No Yes No Gym Restaurants Medical Shops
"Clement Town, Post Office Road, Lane No 10",11200,4000.0,Male,No,Yes,No,"Grocery Stores, Transportation",Clement Town Post Office Road Lane No 10 11200 4000.0 Male No Yes No Grocery Stores Transportation
Bell Road,4300,5800.0,Female,No,No,Yes,"Gym, Grocery Stores, Transportation, Restaurants, Medical Shops",Bell Road 4300 5800.0 Female No No Yes Gym Grocery Stores Transportation Restaurants Medical Shops
Gurn Nanak Road,6000,5000.0,Female,Yes,No,No,"Transportation, Grocery Stores, Gym, Restaurants, Medical Shops",Gurn Nanak Road 6000 5000.0 Female Yes No No Transportation Grocery Stores Gym Restaurants Medical Shops
ISBT Road,7000,3300.0,Female,No,Yes,No,"Medical Shops, Restaurants",ISBT Road 7000 3300.0 Female No Yes No Medical Shops Restaurants
Manav Kendra,10200,3900.0,Female,Yes,No,No,"Restaurants, Gym, Grocery Stores, Transportation, Medical Shops",Manav Kendra 10200 3900.0 Female Yes No No Restaurants Gym Grocery Stores Transportation Medical Shops
Nehru Marg,12200,5700.0,Female,Yes,Yes,Yes,"Medical Shops, Grocery Stores",Nehru Marg 12200 5700.0 Female Yes Yes Yes Medical Shops Grocery Stores
Nehru Marg,11200,5700.0,Female,No,No,Yes,Gym,Nehru Marg 11200 5700.0 Female No No Yes Gym
Nehru Marg,7200,5700.0,Male,No,Yes,Yes,Gym,Nehru Marg 7200 5700.0 Male No Yes Yes Gym
Nehru Marg,6700,5700.0,Male,Yes,No,Yes,"Medical Shops, Transportation, Restaurants, Gym",Nehru Marg 6700 5700.0 Male Yes No Yes Medical Shops Transportation Restaurants Gym
"Lane-10, Post Office Road",8900,4200.0,Male,No,No,No,"Grocery Stores, Gym, Transportation, Restaurants",Lane-10 Post Office Road 8900 4200.0 Male No No No Grocery Stores Gym Transportation Restaurants
"Clement Town, Post Office Road, Lane No 10",5000,4000.0,Female,No,Yes,No,"Transportation, Gym, Grocery Stores, Medical Shops",Clement Town Post Office Road Lane No 10 5000 4000.0 Female No Yes No Transportation Gym Grocery Stores Medical Shops
"Lane No 2C, Post Office Road, Clement Town, Dehradun",12300,4100.0,Female,No,Yes,Yes,"Medical Shops, Gym",Lane No 2C Post Office Road Clement Town Dehradun 12300 4100.0 Female No Yes Yes Medical Shops Gym
St Mary Church,12100,4400.0,Female,No,No,Yes,"Medical Shops, Gym, Grocery Stores, Transportation",St Mary Church 12100 4400.0 Female No No Yes Medical Shops Gym Grocery Stores Transportation
"Lane No 2C, Post Office Road, Clement Town, Dehradun",3900,4100.0,Male,No,Yes,Yes,"Medical Shops, Transportation, Grocery Stores, Restaurants",Lane No 2C Post Office Road Clement Town Dehradun 3900 4100.0 Male No Yes Yes Medical Shops Transportation Grocery Stores Restaurants
"Lane-10, Post Office Road",10300,4200.0,Male,No,Yes,No,Gym,Lane-10 Post Office Road 10300 4200.0 Male No Yes No Gym
"Lane-2, Clement Town",8100,2900.0,Male,No,No,Yes,"Gym, Restaurants, Medical Shops, Grocery Stores",Lane-2 Clement Town 8100 2900.0 Male No No Yes Gym Restaurants Medical Shops Grocery Stores
"Lane-3, Clement Town",4000,3300.0,Female,No,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops",Lane-3 Clement Town 4000 3300.0 Female No Yes Yes Grocery Stores Restaurants Medical Shops
"Lane-1, Clement Town",7900,2800.0,Female,No,No,Yes,"Grocery Stores, Gym, Restaurants",Lane-1 Clement Town 7900 2800.0 Female No No Yes Grocery Stores Gym Restaurants
Manav Kendra,11500,3900.0,Male,No,Yes,No,Transportation,Manav Kendra 11500 3900.0 Male No Yes No Transportation
ISBT Road,11200,3300.0,Male,No,No,Yes,"Grocery Stores, Medical Shops, Gym, Restaurants",ISBT Road 11200 3300.0 Male No No Yes Grocery Stores Medical Shops Gym Restaurants
GK army Pre Primary School,11600,4600.0,Male,No,No,No,"Restaurants, Medical Shops, Transportation, Gym",GK army Pre Primary School 11600 4600.0 Male No No No Restaurants Medical Shops Transportation Gym
St Mary Church,7400,4400.0,Male,No,No,Yes,"Restaurants, Grocery Stores, Gym",St Mary Church 7400 4400.0 Male No No Yes Restaurants Grocery Stores Gym
"Lane-10, Post Office Road",6100,4200.0,Male,Yes,Yes,No,"Gym, Medical Shops, Grocery Stores, Restaurants",Lane-10 Post Office Road 6100 4200.0 Male Yes Yes No Gym Medical Shops Grocery Stores Restaurants
Bell Road,9400,5800.0,Female,Yes,No,No,Restaurants,Bell Road 9400 5800.0 Female Yes No No Restaurants
"Lane-2, Clement Town",11100,2900.0,Female,Yes,Yes,No,"Restaurants, Transportation, Grocery Stores, Gym, Medical Shops",Lane-2 Clement Town 11100 2900.0 Female Yes Yes No Restaurants Transportation Grocery Stores Gym Medical Shops
Clement Town,5000,2700.0,Male,Yes,Yes,No,"Transportation, Restaurants, Medical Shops, Gym, Grocery Stores",Clement Town 5000 2700.0 Male Yes Yes No Transportation Restaurants Medical Shops Gym Grocery Stores
"Lane-3, Clement Town",8400,3300.0,Male,Yes,Yes,No,"Gym, Transportation",Lane-3 Clement Town 8400 3300.0 Male Yes Yes No Gym Transportation
Bell Road,9700,5800.0,Female,No,No,No,"Gym, Transportation, Restaurants, Medical Shops, Grocery Stores",Bell Road 9700 5800.0 Female No No No Gym Transportation Restaurants Medical Shops Grocery Stores
Nehru Marg,11200,5700.0,Male,Yes,No,Yes,"Transportation, Grocery Stores, Gym, Medical Shops",Nehru Marg 11200 5700.0 Male Yes No Yes Transportation Grocery Stores Gym Medical Shops
Pant Road,3800,6400.0,Female,Yes,Yes,No,"Grocery Stores, Restaurants",Pant Road 3800 6400.0 Female Yes Yes No Grocery Stores Restaurants
Sahastradhara,3800,9500.0,Female,Yes,No,Yes,"Grocery Stores, Restaurants, Medical Shops, Gym",Sahastradhara 3800 9500.0 Female Yes No Yes Grocery Stores Restaurants Medical Shops Gym
"Lane-1, Clement Town",7900,2800.0,Female,Yes,Yes,Yes,"Restaurants, Gym",Lane-1 Clement Town 7900 2800.0 Female Yes Yes Yes Restaurants Gym
"Lane-1, Clement Town",3400,2800.0,Male,No,Yes,Yes,"Medical Shops, Grocery Stores, Transportation",Lane-1 Clement Town 3400 2800.0 Male No Yes Yes Medical Shops Grocery Stores Transportation
Gurn Nanak Road,6600,5000.0,Male,No,Yes,No,Transportation,Gurn Nanak Road 6600 5000.0 Male No Yes No Transportation
Mohabbewala,12800,8200.0,Male,Yes,No,No,"Grocery Stores, Restaurants",Mohabbewala 12800 8200.0 Male Yes No No Grocery Stores Restaurants
Shubhash Nagar,3700,5400.0,Female,No,Yes,Yes,Transportation,Shubhash Nagar 3700 5400.0 Female No Yes Yes Transportation
Manav Kendra,4100,3900.0,Male,Yes,Yes,No,"Gym, Transportation, Medical Shops, Restaurants, Grocery Stores",Manav Kendra 4100 3900.0 Male Yes Yes No Gym Transportation Medical Shops Restaurants Grocery Stores
Bharuwala colony,12400,6200.0,Male,No,No,Yes,"Restaurants, Gym, Medical Shops",Bharuwala colony 12400 6200.0 Male No No Yes Restaurants Gym Medical Shops
Pant Road,7800,6400.0,Male,Yes,No,No,Medical Shops,Pant Road 7800 6400.0 Male Yes No No Medical Shops
Tibetan Colony,5100,6800.0,Female,Yes,Yes,Yes,"Grocery Stores, Restaurants",Tibetan Colony 5100 6800.0 Female Yes Yes Yes Grocery Stores Restaurants
"Lane-2, Clement Town",10200,2900.0,Male,No,No,No,"Transportation, Gym, Restaurants",Lane-2 Clement Town 10200 2900.0 Male No No No Transportation Gym Restaurants
"Lane-10, Post Office Road",10800,4200.0,Female,Yes,No,No,"Medical Shops, Grocery Stores",Lane-10 Post Office Road 10800 4200.0 Female Yes No No Medical Shops Grocery Stores
Tibetan Colony,8500,6800.0,Male,No,Yes,Yes,"Gym, Grocery Stores",Tibetan Colony 8500 6800.0 Male No Yes Yes Gym Grocery Stores
St Mary Church,12700,4400.0,Male,No,No,Yes,"Gym, Restaurants",St Mary Church 12700 4400.0 Male No No Yes Gym Restaurants
St Mary Church,8100,4400.0,Female,No,Yes,No,"Transportation, Restaurants, Gym, Medical Shops, Grocery Stores",St Mary Church 8100 4400.0 Female No Yes No Transportation Restaurants Gym Medical Shops Grocery Stores
Tibetan Colony,6200,6800.0,Female,No,Yes,No,"Transportation, Grocery Stores, Restaurants",Tibetan Colony 6200 6800.0 Female No Yes No Transportation Grocery Stores Restaurants
"Clement Town, Post Office Road, Lane No 10",6500,4000.0,Male,No,Yes,No,"Transportation, Grocery Stores, Restaurants, Gym",Clement Town Post Office Road Lane No 10 6500 4000.0 Male No Yes No Transportation Grocery Stores Restaurants Gym
Morowala,12900,7000.0,Female,No,Yes,No,Medical Shops,Morowala 12900 7000.0 Female No Yes No Medical Shops
