Location,Rent (INR),Distance from College (km),Gender,WiFi,Distance from College (m),Food Availability,Parking Availability,Amenities
Sahastradhara,11144,9.5,Male,Yes,,No,No,"Medical Shops, Grocery Stores, Restaurants"
"Lane-2, Clement Town",7177,2.9,Male,No,,Yes,Yes,"Medical Shops, Gym, Transportation"
"Lane-2, Clement Town",12012,2.9,Female,No,,Yes,Yes,"Transportation, Grocery Stores"
Bell Road,11219,5.8,Female,No,,Yes,No,"Gym, Transportation, Medical Shops, Grocery Stores, Restaurants"
Nehru Marg,11657,5.7,Female,Yes,,Yes,Yes,Restaurants
"Lane-2, Clement Town",6077,2.9,Female,No,,Yes,Yes,"Restaurants, Medical Shops, Transportation, Grocery Stores, Gym"
Gurn Nanak Road,3579,5.0,Male,Yes,,No,No,Restaurants
Sahastradhara,12025,9.5,Male,Yes,,No,Yes,"Restaurants, Transportation, Grocery Stores"
Nehru Marg,12019,5.7,Male,No,,No,Yes,"Grocery Stores, Restaurants, Medical Shops, Gym, Transportation"
"Lane-10, Post Office Road",11621,4.2,Male,No,,No,No,"Grocery Stores, Transportation, Medical Shops, Restaurants"
St Mary Church,10053,4.4,Female,No,,Yes,Yes,"Medical Shops, Restaurants"
GK army Pre Primary School,10543,4.6,Female,Yes,,Yes,Yes,"Grocery Stores, Gym, Restaurants, Transportation, Medical Shops"
Clement Town,12110,2.7,Male,No,,No,Yes,"Medical Shops, Transportation, Restaurants, Gym, Grocery Stores"
Clement Town,11908,2.7,Female,Yes,,No,Yes,"Gym, Transportation"
Mohabbewala,6234,8.2,Female,Yes,,Yes,No,"Gym, Grocery Stores, Medical Shops, Restaurants, Transportation"
Bell Road,9086,5.8,Male,No,,No,Yes,Transportation
"Clement Town, Post Office Road, Lane No 10",3412,4.0,Male,No,,Yes,Yes,"Medical Shops, Restaurants, Transportation, Gym, Grocery Stores"
Mohabbewala,12140,8.2,Male,Yes,,Yes,No,"Gym, Restaurants, Grocery Stores"
"Lane-10, Post Office Road",4040,4.2,Male,Yes,,No,Yes,"Grocery Stores, Medical Shops, Gym, Transportation, Restaurants"
Tibetan Colony,5409,6.8,Male,Yes,,Yes,No,"Grocery Stores, Transportation, Gym, Medical Shops, Restaurants"
"Subhash Nagar, Dehradun",11113,5.3,Male,No,,No,No,Restaurants
"Clement Town, Post Office Road, Lane No 10",10746,4.0,Female,Yes,,Yes,Yes,"Restaurants, Transportation, Grocery Stores, Medical Shops"
ISBT Road,5677,3.3,Female,No,,Yes,No,"Gym, Restaurants, Medical Shops"
"Clement Town, Post Office Road, Lane No 10",11150,4.0,Male,No,,Yes,No,"Grocery Stores, Transportation"
Bell Road,4343,5.8,Female,No,,No,Yes,"Gym, Grocery Stores, Transportation, Restaurants, Medical Shops"
Gurn Nanak Road,5971,5.0,Female,Yes,,No,No,"Transportation, Grocery Stores, Gym, Restaurants, Medical Shops"
ISBT Road,7030,3.3,Female,No,,Yes,No,"Medical Shops, Restaurants"
Manav Kendra,10153,3.9,Female,Yes,,No,No,"Restaurants, Gym, Grocery Stores, Transportation, Medical Shops"
Nehru Marg,12199,5.7,Female,Yes,,Yes,Yes,"Medical Shops, Grocery Stores"
Nehru Marg,11217,5.7,Female,No,,No,Yes,Gym
Nehru Marg,7227,5.7,Male,No,,Yes,Yes,Gym
Nehru Marg,6732,5.7,Male,Yes,,No,Yes,"Medical Shops, Transportation, Restaurants, Gym"
"Lane-10, Post Office Road",8890,4.2,Male,No,,No,No,"Grocery Stores, Gym, Transportation, Restaurants"
"Clement Town, Post Office Road, Lane No 10",5011,4.0,Female,No,,Yes,No,"Transportation, Gym, Grocery Stores, Medical Shops"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",12310,4.1,Female,No,,Yes,Yes,"Medical Shops, Gym"
St Mary Church,12131,4.4,Female,No,,No,Yes,"Medical Shops, Gym, Grocery Stores, Transportation"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",3854,4.1,Male,No,,Yes,Yes,"Medical Shops, Transportation, Grocery Stores, Restaurants"
"Lane-10, Post Office Road",10276,4.2,Male,No,,Yes,No,Gym
"Lane-2, Clement Town",8088,2.9,Male,No,,No,Yes,"Gym, Restaurants, Medical Shops, Grocery Stores"
"Lane-3, Clement Town",4041,3.3,Female,No,,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops"
"Lane-1, Clement Town",7924,2.8,Female,No,,No,Yes,"Grocery Stores, Gym, Restaurants"
Manav Kendra,11505,3.9,Male,No,,Yes,No,Transportation
ISBT Road,11155,3.3,Male,No,,No,Yes,"Grocery Stores, Medical Shops, Gym, Restaurants"
GK army Pre Primary School,11566,4.6,Male,No,,No,No,"Restaurants, Medical Shops, Transportation, Gym"
St Mary Church,7399,4.4,Male,No,,No,Yes,"Restaurants, Grocery Stores, Gym"
"Lane-10, Post Office Road",6117,4.2,Male,Yes,,Yes,No,"Gym, Medical Shops, Grocery Stores, Restaurants"
Bell Road,9427,5.8,Female,Yes,,No,No,Restaurants
"Lane-2, Clement Town",11117,2.9,Female,Yes,,Yes,No,"Restaurants, Transportation, Grocery Stores, Gym, Medical Shops"
Clement Town,5042,2.7,Male,Yes,,Yes,No,"Transportation, Restaurants, Medical Shops, Gym, Grocery Stores"
"Lane-3, Clement Town",8351,3.3,Male,Yes,,Yes,No,"Gym, Transportation"
Bell Road,9695,5.8,Female,No,,No,No,"Gym, Transportation, Restaurants, Medical Shops, Grocery Stores"
Nehru Marg,11166,5.7,Male,Yes,,No,Yes,"Transportation, Grocery Stores, Gym, Medical Shops"
Pant Road,3796,6.4,Female,Yes,,Yes,No,"Grocery Stores, Restaurants"
Sahastradhara,3828,9.5,Female,Yes,,No,Yes,"Grocery Stores, Restaurants, Medical Shops, Gym"
"Lane-1, Clement Town",7893,2.8,Female,Yes,,Yes,Yes,"Restaurants, Gym"
"Lane-1, Clement Town",3354,2.8,Male,No,,Yes,Yes,"Medical Shops, Grocery Stores, Transportation"
Gurn Nanak Road,6563,5.0,Male,No,,Yes,No,Transportation
Mohabbewala,12824,8.2,Male,Yes,,No,No,"Grocery Stores, Restaurants"
Shubhash Nagar,3725,5.4,Female,No,,Yes,Yes,Transportation
Manav Kendra,4104,3.9,Male,Yes,,Yes,No,"Gym, Transportation, Medical Shops, Restaurants, Grocery Stores"
Bharuwala colony,12353,6.2,Male,No,,No,Yes,"Restaurants, Gym, Medical Shops"
Pant Road,7838,6.4,Male,Yes,,No,No,Medical Shops
Tibetan Colony,5097,6.8,Female,Yes,,Yes,Yes,"Grocery Stores, Restaurants"
"Lane-2, Clement Town",10218,2.9,Male,No,,No,No,"Transportation, Gym, Restaurants"
"Lane-10, Post Office Road",10796,4.2,Female,Yes,,No,No,"Medical Shops, Grocery Stores"
Tibetan Colony,8511,6.8,Male,No,,Yes,Yes,"Gym, Grocery Stores"
St Mary Church,12719,4.4,Male,No,,No,Yes,"Gym, Restaurants"
St Mary Church,8138,4.4,Female,No,,Yes,No,"Transportation, Restaurants, Gym, Medical Shops, Grocery Stores"
Tibetan Colony,6247,6.8,Female,No,,Yes,No,"Transportation, Grocery Stores, Restaurants"
"Clement Town, Post Office Road, Lane No 10",6495,4.0,Male,No,,Yes,No,"Transportation, Grocery Stores, Restaurants, Gym"
Morowala,12894,7.0,Female,No,,Yes,No,Medical Shops
Mohabbewala,9669,8.2,Male,Yes,,Yes,Yes,"Transportation, Restaurants, Gym"
"Lane-4, Clement Town",11808,3.5,Male,No,,Yes,Yes,"Gym, Medical Shops, Grocery Stores, Restaurants, Transportation"
Pant Road,7955,6.4,Female,Yes,,Yes,Yes,"Transportation, Gym, Restaurants, Medical Shops"
Shubhash Nagar,10751,5.4,Male,Yes,,Yes,Yes,"Gym, Transportation, Medical Shops, Grocery Stores, Restaurants"
Tibetan Colony,9325,6.8,Male,Yes,,Yes,Yes,"Transportation, Grocery Stores"
Tibetan Colony,6704,6.8,Female,Yes,,No,No,"Gym, Restaurants, Transportation, Medical Shops"
Shubhash Nagar,6710,5.4,Male,No,,Yes,No,"Medical Shops, Transportation, Grocery Stores"
Bell Road,9118,5.8,Male,No,,Yes,Yes,"Grocery Stores, Transportation, Gym, Restaurants"
"Lane-1, Clement Town",6927,2.8,Male,No,,Yes,No,Gym
"Clement Town, Post Office Road, Lane No 10",12091,4.0,Female,Yes,,Yes,Yes,"Medical Shops, Restaurants, Gym, Grocery Stores, Transportation"
Bharuwala colony,3277,6.2,Male,Yes,,No,No,"Grocery Stores, Medical Shops"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",6765,4.1,Female,No,,No,Yes,Transportation
St Mary Church,3731,4.4,Female,Yes,,No,Yes,"Medical Shops, Gym"
Manav Kendra,5899,3.9,Female,Yes,,No,Yes,"Gym, Transportation"
St Mary Church,5390,4.4,Male,Yes,,No,Yes,"Gym, Restaurants, Medical Shops"
"Lane-4, Clement Town",12469,3.5,Male,Yes,,No,Yes,"Restaurants, Gym, Transportation, Grocery Stores, Medical Shops"
St Mary Church,5193,4.4,Female,No,,Yes,No,"Gym, Grocery Stores, Transportation"
Mohabbewala,3599,8.2,Male,Yes,,No,Yes,"Medical Shops, Grocery Stores, Restaurants, Gym, Transportation"
Pant Road,6395,6.4,Female,No,,Yes,Yes,"Restaurants, Medical Shops, Gym, Grocery Stores"
"Subhash Nagar, Dehradun",10270,5.3,Female,No,,Yes,Yes,"Gym, Restaurants, Medical Shops"
Pant Road,8686,6.4,Female,Yes,,No,Yes,"Medical Shops, Transportation, Grocery Stores, Restaurants"
Mohabbewala,6709,8.2,Male,Yes,,Yes,Yes,"Medical Shops, Restaurants, Transportation, Grocery Stores"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",4643,4.1,Female,Yes,,No,No,"Restaurants, Medical Shops, Grocery Stores"
Manav Kendra,3834,3.9,Female,Yes,,Yes,Yes,Gym
Clement Town,4436,2.7,Male,Yes,,Yes,No,"Gym, Medical Shops, Transportation, Restaurants"
Subhash Nagar,7436,5.0,Male,No,,Yes,No,"Gym, Transportation, Grocery Stores, Medical Shops, Restaurants"
Clement Town,7980,2.7,Female,No,,Yes,No,"Restaurants, Grocery Stores, Medical Shops, Transportation, Gym"
Nehru Marg,9488,5.7,Male,Yes,,Yes,Yes,"Gym, Medical Shops, Transportation"
Manav Kendra,9198,3.9,Male,No,,Yes,Yes,"Gym, Grocery Stores, Transportation, Medical Shops, Restaurants"
Morowala,10048,7.0,Female,No,,No,Yes,Gym
"Lane-1, Clement Town",12635,2.8,Female,No,,Yes,No,Medical Shops
"Lane-3, Clement Town",3449,3.3,Female,No,,Yes,No,"Gym, Medical Shops, Restaurants, Transportation"
Clement Town,6554,2.7,Female,No,,No,Yes,"Transportation, Medical Shops, Restaurants, Grocery Stores"
Morowala,8468,7.0,Female,Yes,,No,No,Restaurants
Morowala,12924,7.0,Male,Yes,,No,No,"Restaurants, Transportation, Medical Shops"
Nehru Marg,10066,5.7,Male,No,,Yes,No,Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",11066,4.1,Male,No,,Yes,Yes,Restaurants
Manav Kendra,4012,3.9,Female,Yes,,No,Yes,Restaurants
Clement Town,9322,2.7,Male,Yes,,Yes,Yes,Grocery Stores
Clement Town,10329,2.7,Male,Yes,,No,Yes,Grocery Stores
Bell Road,4289,5.8,Female,Yes,,Yes,Yes,"Grocery Stores, Restaurants"
Manav Kendra,12586,3.9,Female,No,,Yes,No,"Medical Shops, Grocery Stores, Gym"
"Lane-10, Post Office Road",9189,4.2,Male,No,,No,Yes,"Medical Shops, Gym"
Manav Kendra,6985,3.9,Female,No,,Yes,Yes,"Medical Shops, Grocery Stores, Gym, Restaurants, Transportation"
Gurn Nanak Road,12928,5.0,Female,Yes,,Yes,Yes,"Gym, Medical Shops"
Manav Kendra,3414,3.9,Male,Yes,,Yes,Yes,Transportation
Sahastradhara,6764,9.5,Female,No,,No,Yes,"Medical Shops, Restaurants"
Manav Kendra,4013,3.9,Female,Yes,,No,Yes,Grocery Stores
ISBT Road,5431,3.3,Female,No,,Yes,No,"Medical Shops, Gym, Restaurants, Grocery Stores"
Mohabbewala,10560,8.2,Male,No,,No,No,Restaurants
Shubhash Nagar,12346,5.4,Male,Yes,,Yes,No,"Gym, Transportation, Grocery Stores, Restaurants, Medical Shops"
Nehru Marg,10397,5.7,Male,Yes,,No,Yes,"Medical Shops, Grocery Stores, Restaurants"
"Lane-4, Clement Town",7295,3.5,Male,Yes,,No,Yes,"Medical Shops, Gym"
Bell Road,11190,5.8,Male,No,,No,Yes,"Medical Shops, Restaurants"
Tibetan Colony,9394,6.8,Female,Yes,,Yes,No,"Medical Shops, Transportation, Grocery Stores"
"Lane-3, Clement Town",8170,3.3,Female,No,,No,No,"Gym, Medical Shops, Grocery Stores, Transportation, Restaurants"
Shubhash Nagar,6486,5.4,Male,Yes,,No,No,"Grocery Stores, Medical Shops, Restaurants"
ISBT Road,4475,3.3,Female,Yes,,No,No,"Medical Shops, Grocery Stores, Restaurants"
Mohabbewala,6055,8.2,Male,No,,No,No,"Medical Shops, Gym, Grocery Stores"
Jaligaon,12140,7.5,Female,No,,Yes,Yes,Grocery Stores
Mohabbewala,10381,8.2,Female,No,,No,No,"Medical Shops, Restaurants, Grocery Stores, Transportation"
Tibetan Colony,6766,6.8,Female,Yes,,Yes,No,Medical Shops
Manav Kendra,11623,3.9,Male,Yes,,No,No,Grocery Stores
"Lane-1, Clement Town",8842,2.8,Male,No,,Yes,Yes,"Grocery Stores, Medical Shops, Restaurants, Gym, Transportation"
Mohabbewala,8011,8.2,Male,No,,No,Yes,Restaurants
Gurn Nanak Road,3857,5.0,Female,No,,No,No,"Restaurants, Medical Shops"
Subhash Nagar,6729,5.0,Female,No,,No,No,"Restaurants, Gym"
Air Force Colony,12483,6.0,Female,No,,Yes,No,"Medical Shops, Gym, Restaurants, Grocery Stores, Transportation"
Morowala,8690,7.0,Female,No,,No,Yes,Grocery Stores
Jaligaon,7782,7.5,Male,No,,No,Yes,"Grocery Stores, Gym, Medical Shops"
ISBT Road,6146,3.3,Female,Yes,,Yes,Yes,Medical Shops
Shubhash Nagar,10496,5.4,Male,No,,No,No,"Grocery Stores, Gym"
Jaligaon,3359,7.5,Male,No,,No,Yes,"Medical Shops, Transportation, Restaurants, Grocery Stores"
"Lane-4, Clement Town",6579,3.5,Male,Yes,,Yes,Yes,"Transportation, Gym, Restaurants, Grocery Stores"
Tibetan Colony,9874,6.8,Male,Yes,,No,No,"Gym, Medical Shops"
Tibetan Colony,8923,6.8,Male,No,,No,No,Transportation
Air Force Colony,3029,6.0,Female,No,,No,No,"Medical Shops, Gym, Transportation, Restaurants, Grocery Stores"
"Lane-2, Clement Town",12911,2.9,Male,Yes,,No,No,"Grocery Stores, Transportation, Restaurants, Gym, Medical Shops"
Nehru Marg,12617,5.7,Female,Yes,,No,No,"Gym, Medical Shops, Transportation, Restaurants"
Pant Road,3324,6.4,Male,No,,Yes,No,Medical Shops
Gurn Nanak Road,5382,5.0,Female,Yes,,No,Yes,"Restaurants, Transportation, Gym, Medical Shops, Grocery Stores"
Air Force Colony,3572,6.0,Female,Yes,,Yes,Yes,"Grocery Stores, Restaurants"
Pant Road,11987,6.4,Female,Yes,,No,Yes,"Restaurants, Medical Shops, Grocery Stores"
Air Force Colony,7471,6.0,Female,No,,No,Yes,"Restaurants, Transportation, Medical Shops"
Manav Kendra,11925,3.9,Female,No,,Yes,No,"Transportation, Restaurants, Gym, Medical Shops, Grocery Stores"
Subhash Nagar,10115,5.0,Female,No,,Yes,Yes,"Transportation, Restaurants"
Nehru Marg,4651,5.7,Male,No,,Yes,Yes,"Gym, Transportation, Restaurants, Medical Shops, Grocery Stores"
Jaligaon,5063,7.5,Female,Yes,,No,No,"Restaurants, Medical Shops"
Tibetan Colony,6346,6.8,Female,No,,No,No,"Gym, Medical Shops, Grocery Stores"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",12393,4.1,Male,Yes,,Yes,No,"Transportation, Restaurants"
Jaligaon,5463,7.5,Female,No,,Yes,Yes,Transportation
Morowala,10232,7.0,Female,No,,Yes,No,"Grocery Stores, Gym, Restaurants, Medical Shops"
Jaligaon,12688,7.5,Male,Yes,,Yes,Yes,"Gym, Restaurants, Transportation"
Gurn Nanak Road,5803,5.0,Male,No,,Yes,No,"Restaurants, Gym, Transportation, Grocery Stores"
Gurn Nanak Road,4877,5.0,Male,Yes,,No,No,"Transportation, Restaurants, Gym"
Nehru Marg,8218,5.7,Male,No,,Yes,No,"Gym, Transportation"
Clement Town,4441,2.7,Male,Yes,,No,No,Grocery Stores
"Lane-3, Clement Town",10356,3.3,Male,Yes,,No,No,Transportation
ISBT Road,4120,3.3,Male,Yes,,Yes,No,"Restaurants, Transportation, Medical Shops, Gym, Grocery Stores"
"Lane-1, Clement Town",3670,2.8,Female,No,,No,No,"Grocery Stores, Restaurants, Transportation, Gym, Medical Shops"
Morowala,8672,7.0,Male,Yes,,Yes,No,"Restaurants, Transportation, Medical Shops"
ISBT Road,10508,3.3,Male,Yes,,Yes,No,"Gym, Medical Shops, Restaurants, Grocery Stores"
Mohabbewala,8219,8.2,Female,Yes,,No,No,"Restaurants, Medical Shops, Transportation"
Jaligaon,11382,7.5,Male,No,,Yes,No,"Grocery Stores, Transportation, Restaurants"
Manav Kendra,9022,3.9,Female,No,,No,No,Restaurants
Bell Road,9951,5.8,Female,No,,No,Yes,"Gym, Restaurants, Grocery Stores, Medical Shops, Transportation"
Jaligaon,10301,7.5,Female,No,,No,Yes,"Grocery Stores, Transportation, Medical Shops, Gym"
Morowala,12819,7.0,Male,Yes,,Yes,No,"Grocery Stores, Gym, Medical Shops"
"Lane-10, Post Office Road",11602,4.2,Female,No,,No,No,"Gym, Restaurants"
"Subhash Nagar, Dehradun",7687,5.3,Female,Yes,,Yes,Yes,"Medical Shops, Gym, Grocery Stores, Transportation"
Clement Town,8190,2.7,Female,No,,No,Yes,"Grocery Stores, Transportation"
Subhash Nagar,3957,5.0,Male,No,,Yes,No,"Restaurants, Medical Shops"
"Lane-2, Clement Town",6577,2.9,Male,Yes,,Yes,No,"Gym, Restaurants"
Clement Town,5628,2.7,Male,No,,No,No,"Transportation, Grocery Stores"
Mohabbewala,5661,8.2,Female,Yes,,Yes,Yes,"Grocery Stores, Gym, Transportation, Medical Shops"
Manav Kendra,5972,3.9,Female,No,,No,Yes,"Restaurants, Grocery Stores, Medical Shops, Gym, Transportation"
Mohabbewala,6572,8.2,Female,No,,Yes,No,"Restaurants, Transportation, Gym, Grocery Stores"
Gurn Nanak Road,10361,5.0,Female,Yes,,No,Yes,Restaurants
Sahastradhara,5425,9.5,Male,Yes,,Yes,Yes,"Restaurants, Medical Shops, Gym, Transportation, Grocery Stores"
"Lane-2, Clement Town",10450,2.9,Male,Yes,,No,Yes,Restaurants
"Lane-1, Clement Town",10124,2.8,Male,Yes,,Yes,No,"Gym, Restaurants"
"Lane-4, Clement Town",5921,3.5,Male,No,,Yes,No,"Gym, Transportation, Medical Shops, Restaurants"
"Lane-10, Post Office Road",3809,4.2,Male,No,,No,Yes,"Transportation, Medical Shops, Restaurants"
GK army Pre Primary School,9512,4.6,Male,No,,Yes,Yes,"Transportation, Gym, Restaurants, Grocery Stores, Medical Shops"
"Lane-4, Clement Town",12238,3.5,Male,Yes,,Yes,No,Restaurants
St Mary Church,5682,4.4,Male,Yes,,Yes,Yes,"Grocery Stores, Restaurants, Transportation, Gym, Medical Shops"
Morowala,6645,7.0,Female,No,,Yes,No,"Restaurants, Medical Shops, Grocery Stores, Transportation, Gym"
Manav Kendra,3271,3.9,Female,No,,Yes,Yes,Transportation
